True Label,Predicted Label,Content
abstract,abstract,we investigate the use of ground based gravitational wave interferometers for studies of the strong field domain of qed interferometric measurements of phase velocity shifts induced by quantum fluctuations in magnetic fields can become a sensitive probe for nonlinear self interactions among macroscopic electromagnetic fields we identify pulsed magnets as a suitable strong field source since their pulse frequency can be matched perfectly with the domain of highest sensitivity of gravitational wave interferometers if these interferometers reach their future sensitivity goals not only strong field qed phenomena can be discovered but also further parameter space of hypothetical hidden sector particles will be accessible                                                                                                                                                                                                                                                                                                                                                                                         
acknowledgement,acknowledgement,we acknowledge the assistance of yun and anthony d turner of nasas jet propulsion laboratory who fabricated the bolocam science array toshiro of the jpl electronic packaging group who wirebonded the array marty gould of zen machine and ricardo paniagua and the caltech pma gps instrument shop who fabricated much of the bolocam hardware carole tucker of cardiff university who tested metal mesh reflective filters used in bolocam ben knowles of the university of colorado who contributed to the software pipeline the day crew and hilo staff of the caltech submillimeter observatory who provided invaluable assistance during commissioning and data taking for this survey data set high school teacher tobias jacoby and high school students jonathon graff gloria lee and dalton sargent who helped as summer research assistants and kathy deniston who provided effective administrative support at caltech bolocam was constructed and commissioned using funds from nsf ast NUM nsf ast NUM nsf ast NUM nsf ast NUM and nsf ast NUM j sayers and g laurent were partially supported by nasa graduate student research fellowships j sayers was partially supported by a nasa postdoctoral program fellowship j aguirre was partially supported by a jansky postdoctoral fellowship and s golwala was partially supported by a r a millikan postdoctoral fellowship at caltech the research described in this paper was carried out at the jet propulsion laboratory california institute of technology under a contract with the national aeronautics and space administration                                                                                                                                                                                                                                                
conclusion,conclusion,in this paper we proposed a new scenario of hybrid like inflation in remote inflation radiation raised continuously by a dissipating inflaton field causes symmetry restoration in a remote sector and the false vacuum energy of the remote sector dominates the energy density during inflation the situation is similar to hybrid inflation but the hybrid type potential is not required in this scenario remote inflation is terminated when the temperature reaches the critical temperature or when the slow roll condition is violated of course the scenario is identical to thermal inflation if the radiation is not supplied by the inflaton without introducing additional couplings the inflaton field may roll out like an inverted hybrid model or quintessential inflation significant signatures of remote inflation can be observed in the spectrum for a single field remote sector the difference is caused by the inhomogeneous phase transition in the remote sector for multi field extension of the remote sector successive phase transition is possible and it may cause significant difference in the spectrum remote inflation can predict strong amplification or suppression of small scale perturbations which may appear without introducing multiple inflation note that the phase transition in the remote sector is possible during standard warm inflaton irrespective of the domination by the false vacuum energy in the remote sector                                                                                                                                                                                                                                                                       
definition,definition,"let blackboard_F POSTSUBSCRIPT_start italic_p POSTSUBSCRIPT_end be a prime finite field we denote by italic_R italic_M POSTSUBSCRIPT_start italic_p POSTSUBSCRIPT_end OPEN_( italic_r PUNCT_, italic_m CLOSE_) the italic_r POSTSUPERSCRIPT_start italic_t italic_h POSTSUPERSCRIPT_end order generalized reed muller code with italic_m variables this is a linear code over blackboard_F POSTSUBSCRIPT_start italic_p POSTSUBSCRIPT_end whose codewords italic_f RELOP_element_of italic_R italic_M POSTSUBSCRIPT_start italic_p POSTSUBSCRIPT_end OPEN_( italic_r PUNCT_, italic_m CLOSE_) METARELOP_colon blackboard_F POSTSUBSCRIPT_start italic_p POSTSUBSCRIPT_end POSTSUPERSCRIPT_start italic_m POSTSUPERSCRIPT_end ARROW_to blackboard_F POSTSUBSCRIPT_start italic_p POSTSUBSCRIPT_end are evaluations of polynomials over blackboard_F POSTSUBSCRIPT_start italic_p POSTSUBSCRIPT_end in italic_m variables of total degree at most italic_r                                                                                                                                                                                                                                                                                                                                                                                                    "
example,example,"we illustrate the previous procedure with an example taken from the theory of electrical networks in particular we consider the lc switching network in citationelement see also citationelement whose dynamical equation is given by OVERACCENT_dot ARG_start italic_x ARG_end RELOP_equals OPEN_( ARG_start NUM ADDOP_minus italic_nu NUM NUM italic_nu NUM NUM NUM NUM NUM NUM ADDOP_minus italic_beta NUM NUM italic_beta NUM ARG_end CLOSE_) italic_x ADDOP_plus OPEN_( ARG_start NUM NUM NUM italic_gamma NUM NUM italic_delta NUM NUM ADDOP_minus italic_delta NUM NUM ADDOP_minus italic_gamma NUM NUM NUM ARG_end CLOSE_) italic_x italic_u OPEN_( italic_t CLOSE_) PUNCT_, where italic_nu italic_beta italic_gamma and italic_delta are positive parameters depending the inductances and capacitances of the electrical network the vector italic_x represents voltages and currents in the network and italic_u is a switching control variable which takes values in OPEN_{ NUM PUNCT_, NUM CLOSE_} to make the discussion concrete we choose the parameters italic_nu RELOP_equals NUM italic_beta RELOP_equals NUM italic_gamma RELOP_equals NUM and italic_delta RELOP_equals NUM so that the set of available matrices is caligraphic_F RELOP_assign OPEN_{ italic_A POSTSUBSCRIPT_start NUM POSTSUBSCRIPT_end RELOP_assign OPEN_( ARG_start NUM ADDOP_minus NUM NUM NUM NUM NUM NUM NUM NUM ADDOP_minus NUM NUM ADDOP_minus NUM ADDOP_minus NUM NUM NUM NUM ARG_end CLOSE_) PUNCT_, italic_A POSTSUBSCRIPT_start NUM POSTSUBSCRIPT_end RELOP_assign OPEN_( ARG_start NUM ADDOP_minus NUM NUM NUM NUM NUM NUM NUM NUM NUM NUM ADDOP_minus NUM NUM NUM NUM NUM ARG_end CLOSE_) CLOSE_} PERIOD_. the solution of ref is italic_x OPEN_( italic_t CLOSE_) RELOP_equals italic_X OPEN_( italic_t CLOSE_) italic_x OPEN_( NUM CLOSE_) PUNCT_, where italic_X RELOP_equals italic_X OPEN_( italic_t CLOSE_) is the solution of the matrix equation OVERACCENT_dot ARG_start italic_X ARG_end RELOP_equals italic_A OPEN_( italic_u CLOSE_) italic_X PUNCT_, italic_X OPEN_( NUM CLOSE_) RELOP_equals NUM PUNCT_, italic_A OPEN_( NUM CLOSE_) RELOP_equals italic_A POSTSUBSCRIPT_start NUM POSTSUBSCRIPT_end PUNCT_, italic_A OPEN_( NUM CLOSE_) RELOP_equals italic_A POSTSUBSCRIPT_start NUM POSTSUBSCRIPT_end PERIOD_.                                                                                                                                                                                      "
introduction,introduction,the origin of geomagnetic reversals is a much debated subject among scientists in the fields of paleomagnetism and dynamo theory there is general agreement that a detailed understanding of reversals is a key issue of geodynamo theory in this connection also the problem of global excursions of the geomagnetic field in which the dipole strength reaches temporarily unusually low values has been discussed and it has been suggested citationelement citationelement see also citationelement and later papers by citationelement and citationelement that global excursions are aborted reversals not all recorded excursions are global ones but global excursions still appear to occur more frequently than reversals citationelement identified at least six global excursions in the last about NUM ky since the brunhes matuyama reversal but in the last decade many more global excursions have been found according to citationelement in this letter we wish to support the notion that global excursions and reversals originate from the same mechanism an oscillatory dynamo process that manifests itself primarily in the toroidal component of the magnetic field will be proposed as such a mechanism indeed from the perspective of the oscillations excursions must be considered as the normal behavior while a reversal represents an exceptional excursion in which the mean poloidal field is perturbed more strongly that it can recover from its low amplitude state only with the opposite sign                                                                                                                                                                                                                                                               
keywords,keywords,interconnected systems input to state stability small gain theorem large scale systems monotone maps                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
proof,proof,the proof is straightforward from formulae ref ref                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
proposition,proposition,"the algebra caligraphic_F POSTSUBSCRIPT_start italic_n POSTSUBSCRIPT_end is generated by the images of italic_phi POSTSUBSCRIPT_start italic_i italic_j POSTSUBSCRIPT_end italic_i PUNCT_, italic_j RELOP_element_of blackboard_Z POSTSUBSCRIPT_start RELOP_greater_than NUM POSTSUBSCRIPT_end                                                                                                                                                                                                                                                                                                                                                                                                                                                                      "
problem,problem,show that to an affine calabi yau lg b model we can associate a tcft whose closed state space is italic_J POSTSUBSCRIPT_start italic_W POSTSUBSCRIPT_end                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
