True Label,Predicted Label,Content
abstract,abstract,"the electronic structures of ba ( fe , ru ) FLOATSUBSCRIPT_start NUM FLOATSUBSCRIPT_end as FLOATSUBSCRIPT_start NUM FLOATSUBSCRIPT_end and sr ( fe , ir ) FLOATSUBSCRIPT_start NUM FLOATSUBSCRIPT_end as FLOATSUBSCRIPT_start NUM FLOATSUBSCRIPT_end are investigated using density functional calculations . we find that these systems behave as coherent alloys from the electronic structure point of view . in particular , the isoelectronic substitution of fe by ru does not provide doping , but rather suppresses the spin density wave characteristic of the pure fe compound by a reduction in the stoner enhancement and an increase in the band width due hybridization involving ru . the electronic structure near the fermi level otherwise remains quite similar to that of bafe FLOATSUBSCRIPT_start NUM FLOATSUBSCRIPT_end as FLOATSUBSCRIPT_start NUM FLOATSUBSCRIPT_end . the behavior of the ir alloy is similar , except that in this case there is additional electron doping .                                                                                                                                                                                                                                                                                                                                                                               "
acknowledgement,acknowledgement,"acknowledgements . we are grateful for helpful discussions and assistance from a . subedi . this work was supported by the department of energy , division of materials sciences and engineering .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                "
caption,caption,"left panel : pressure region consistent with experimental flow data in symmetric nuclear matter ( dark shaded region ) . the light shaded region extrapolates this region to higher densities within an upper ( ub ) and lower border ( lb ) . right panel : mass versus central density for compact star configurations , calculated using the ub and lb extrapolations of the flow constraint boundaries . the error bars take into account different models for the symmetry energies . the gray horizontal bars denote the expected mass of psr b1516 + NUM within the NUM italic_sigma interval and a likelihood of a mass below NUM M POSTSUBSCRIPT_start MULOP_direct_product POSTSUBSCRIPT_end of NUM POSTFIX_percent , resp . the vertical bars limit the density region covered by the flow constraint .                                                                                                                                                                                                                                                                                                                                                                                              "
conclusion,conclusion,"in this paper it has been shown that gravitational theories in which the purely gravitational action is invariant only under the transverse subgroup of diffeomorphisms are subject to the usual constraints on scalar - tensor theories since they propagate an additional scalar degree of freedom in the metric . bounds on the form of the arbitrary functions one is free to add are discussed in detail in the literature and are straightforward to apply to transverse models . the scalar is not postulated but appears automatically due to the lack of symmetry . in this sense , it is a consequence of the spacetime symmetry principle .                                                                                                                                                                                                                                                                                                                                                                                                                     "
contribution,contribution,"the width from the italic_Z OVERACCENT_tilde ARG_start italic_chi ARG_end POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end interference term is Gamma POSTSUBSCRIPT_start italic_Z OVERACCENT_tilde ARG_start italic_chi ARG_end POSTSUBSCRIPT_start italic_b POSTSUBSCRIPT_end POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end POSTSUBSCRIPT_end RELOP_equals ADDOP_minus FRACOP_italic_divide ARG_start italic_m POSTSUBSCRIPT_start italic_i POSTSUBSCRIPT_end ARG_end ARG_start NUM italic_pi POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end ARG_end FRACOP_italic_divide ARG_start italic_g italic_zeta POSTSUBSCRIPT_start italic_j italic_i POSTSUBSCRIPT_end POSTSUPERSCRIPT_start OPEN_( NUM CLOSE_) POSTSUPERSCRIPT_end ARG_end ARG_start TRIGFUNCTION_cosine italic_theta POSTSUBSCRIPT_start italic_W POSTSUBSCRIPT_end ARG_end SUMOP_sum POSTSUBSCRIPT_start italic_b RELOP_equals NUM POSTSUBSCRIPT_end POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end SUMOP_sum POSTSUBSCRIPT_start italic_t RELOP_equals NUM POSTSUBSCRIPT_end POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end italic_C POSTSUBSCRIPT_start italic_Z OVERACCENT_tilde ARG_start italic_chi ARG_end POSTSUBSCRIPT_start italic_b POSTSUBSCRIPT_end POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end POSTSUBSCRIPT_end POSTSUPERSCRIPT_start OPEN_( italic_t CLOSE_) POSTSUPERSCRIPT_end italic_I POSTSUBSCRIPT_start italic_Z OVERACCENT_tilde ARG_start italic_chi ARG_end POSTSUBSCRIPT_start italic_b POSTSUBSCRIPT_end POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end POSTSUBSCRIPT_end POSTSUPERSCRIPT_start OPEN_( italic_t CLOSE_) POSTSUPERSCRIPT_end PUNCT_, where the integrals are italic_I POSTSUBSCRIPT_start italic_Z OVERACCENT_tilde ARG_start italic_chi ARG_end POSTSUBSCRIPT_start italic_b POSTSUBSCRIPT_end POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end POSTSUBSCRIPT_end POSTSUPERSCRIPT_start OPEN_( NUM CLOSE_) POSTSUPERSCRIPT_end RELOP_equals INTOP_integral POSTSUBSCRIPT_start italic_x POSTSUBSCRIPT_start ADDOP_minus POSTSUBSCRIPT_end POSTSUBSCRIPT_end POSTSUPERSCRIPT_start italic_x POSTSUBSCRIPT_start ADDOP_plus POSTSUBSCRIPT_end POSTSUPERSCRIPT_end italic_d italic_x OPEN_[ NUM OPEN_( NUM ADDOP_minus italic_x ADDOP_plus italic_r POSTSUBSCRIPT_start italic_k POSTSUBSCRIPT_end POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end CLOSE_) italic_g POSTSUPERSCRIPT_start OPEN_( NUM CLOSE_) POSTSUPERSCRIPT_end OPEN_( italic_x PUNCT_, italic_r POSTSUBSCRIPT_start italic_Z POSTSUBSCRIPT_end PUNCT_, italic_r POSTSUBSCRIPT_start italic_b POSTSUBSCRIPT_end CLOSE_) ADDOP_plus OPEN_( NUM italic_x ADDOP_minus NUM italic_R POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end ADDOP_plus italic_r POSTSUBSCRIPT_start italic_k POSTSUBSCRIPT_end POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end ADDOP_minus italic_r POSTSUBSCRIPT_start italic_j POSTSUBSCRIPT_end POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end italic_r POSTSUBSCRIPT_start italic_k POSTSUBSCRIPT_end POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end CLOSE_) italic_g POSTSUPERSCRIPT_start OPEN_( NUM CLOSE_) POSTSUPERSCRIPT_end OPEN_( italic_x PUNCT_, italic_r POSTSUBSCRIPT_start italic_Z POSTSUBSCRIPT_end PUNCT_, italic_r POSTSUBSCRIPT_start italic_b POSTSUBSCRIPT_end CLOSE_) CLOSE_] italic_I POSTSUBSCRIPT_start italic_Z OVERACCENT_tilde ARG_start italic_chi ARG_end POSTSUBSCRIPT_start italic_b POSTSUBSCRIPT_end POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end POSTSUBSCRIPT_end POSTSUPERSCRIPT_start OPEN_( NUM CLOSE_) POSTSUPERSCRIPT_end RELOP_equals italic_r POSTSUBSCRIPT_start italic_k POSTSUBSCRIPT_end italic_r POSTSUBSCRIPT_start italic_b POSTSUBSCRIPT_end INTOP_integral POSTSUBSCRIPT_start italic_x POSTSUBSCRIPT_start ADDOP_minus POSTSUBSCRIPT_end POSTSUBSCRIPT_end POSTSUPERSCRIPT_start italic_x POSTSUBSCRIPT_start ADDOP_plus POSTSUBSCRIPT_end POSTSUPERSCRIPT_end italic_d italic_x OPEN_[ italic_g POSTSUPERSCRIPT_start OPEN_( NUM CLOSE_) POSTSUPERSCRIPT_end OPEN_( italic_x PUNCT_, italic_r POSTSUBSCRIPT_start italic_Z POSTSUBSCRIPT_end PUNCT_, italic_r POSTSUBSCRIPT_start italic_b POSTSUBSCRIPT_end CLOSE_) ADDOP_minus OPEN_( NUM ADDOP_plus italic_x ADDOP_minus italic_r POSTSUBSCRIPT_start italic_j POSTSUBSCRIPT_end POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end CLOSE_) italic_g POSTSUPERSCRIPT_start OPEN_( NUM CLOSE_) POSTSUPERSCRIPT_end OPEN_( italic_x PUNCT_, italic_r POSTSUBSCRIPT_start italic_Z POSTSUBSCRIPT_end PUNCT_, italic_r POSTSUBSCRIPT_start italic_b POSTSUBSCRIPT_end CLOSE_) CLOSE_] italic_I POSTSUBSCRIPT_start italic_Z OVERACCENT_tilde ARG_start italic_chi ARG_end POSTSUBSCRIPT_start italic_b POSTSUBSCRIPT_end POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end POSTSUBSCRIPT_end POSTSUPERSCRIPT_start OPEN_( NUM CLOSE_) POSTSUPERSCRIPT_end RELOP_equals italic_r POSTSUBSCRIPT_start italic_k POSTSUBSCRIPT_end italic_r POSTSUBSCRIPT_start italic_b POSTSUBSCRIPT_end INTOP_integral POSTSUBSCRIPT_start italic_x POSTSUBSCRIPT_start ADDOP_minus POSTSUBSCRIPT_end POSTSUBSCRIPT_end POSTSUPERSCRIPT_start italic_x POSTSUBSCRIPT_start ADDOP_plus POSTSUBSCRIPT_end POSTSUPERSCRIPT_end italic_d italic_x OPEN_[ italic_g POSTSUPERSCRIPT_start OPEN_( NUM CLOSE_) POSTSUPERSCRIPT_end OPEN_( italic_x PUNCT_, italic_r POSTSUBSCRIPT_start italic_Z POSTSUBSCRIPT_end PUNCT_, italic_r POSTSUBSCRIPT_start italic_b POSTSUBSCRIPT_end CLOSE_) ADDOP_plus OPEN_( NUM ADDOP_minus italic_x ADDOP_minus italic_r POSTSUBSCRIPT_start italic_j POSTSUBSCRIPT_end POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end CLOSE_) italic_g POSTSUPERSCRIPT_start OPEN_( NUM CLOSE_) POSTSUPERSCRIPT_end OPEN_( italic_x PUNCT_, italic_r POSTSUBSCRIPT_start italic_Z POSTSUBSCRIPT_end PUNCT_, italic_r POSTSUBSCRIPT_start italic_b POSTSUBSCRIPT_end CLOSE_) CLOSE_] italic_I POSTSUBSCRIPT_start italic_Z OVERACCENT_tilde ARG_start italic_chi ARG_end POSTSUBSCRIPT_start italic_b POSTSUBSCRIPT_end POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end POSTSUBSCRIPT_end POSTSUPERSCRIPT_start OPEN_( NUM CLOSE_) POSTSUPERSCRIPT_end RELOP_equals italic_r POSTSUBSCRIPT_start italic_k POSTSUBSCRIPT_end POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end INTOP_integral POSTSUBSCRIPT_start italic_x POSTSUBSCRIPT_start ADDOP_minus POSTSUBSCRIPT_end POSTSUBSCRIPT_end POSTSUPERSCRIPT_start italic_x POSTSUBSCRIPT_start ADDOP_plus POSTSUBSCRIPT_end POSTSUPERSCRIPT_end italic_d italic_x OPEN_[ OPEN_( NUM ADDOP_minus NUM italic_x ADDOP_plus italic_r POSTSUBSCRIPT_start italic_j POSTSUBSCRIPT_end POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end CLOSE_) italic_g POSTSUPERSCRIPT_start OPEN_( NUM CLOSE_) POSTSUPERSCRIPT_end OPEN_( italic_x PUNCT_, italic_r POSTSUBSCRIPT_start"
definition,definition,"let blackboard_F POSTSUBSCRIPT_start italic_p POSTSUBSCRIPT_end be a prime finite field . we denote by italic_R italic_M POSTSUBSCRIPT_start italic_p POSTSUBSCRIPT_end OPEN_( italic_r PUNCT_, italic_m CLOSE_) the italic_r POSTSUPERSCRIPT_start italic_t italic_h POSTSUPERSCRIPT_end - order generalized reed - muller code with italic_m variables . this is a linear code over blackboard_F POSTSUBSCRIPT_start italic_p POSTSUBSCRIPT_end , whose codewords italic_f RELOP_element_of italic_R italic_M POSTSUBSCRIPT_start italic_p POSTSUBSCRIPT_end OPEN_( italic_r PUNCT_, italic_m CLOSE_) METARELOP_colon blackboard_F POSTSUBSCRIPT_start italic_p POSTSUBSCRIPT_end POSTSUPERSCRIPT_start italic_m POSTSUPERSCRIPT_end ARROW_to blackboard_F POSTSUBSCRIPT_start italic_p POSTSUBSCRIPT_end are evaluations of polynomials over blackboard_F POSTSUBSCRIPT_start italic_p POSTSUBSCRIPT_end in italic_m variables of total degree at most italic_r .                                                                                                                                                                                                                                                                                                                                                                                                                              "
example,example,"carrying on with example ref , we compute italic_varphi POSTSUBSCRIPT_start NUM POSTSUBSCRIPT_end OPEN_( italic_J POSTSUBSCRIPT_start NUM POSTSUBSCRIPT_end CLOSE_) RELOP_equals italic_varphi POSTSUBSCRIPT_start NUM POSTSUBSCRIPT_end OPEN_( OPEN_langle italic_t CLOSE_rangle CLOSE_) .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   "
experiment,experiment,"the problem instances of the upgradeability problem have been obtained from the linux debian distribution archive , where debian packages are daily archived . each daily archive is a repository . two repositories corresponding to a snapshot with a time gap of NUM months have been selected . from the first repository , the packages for a basic debian installation have been picked , jointly with a set of other packages . from the second repository , a set of packages to be upgraded have been picked . this set of packages is a subset of the installed packages .                                                                                                                                                                                                                                                                                                                                                                                                                            "
introduction,introduction,"recent progress in cooling and trapping atoms with large magnetic moments presents numerous opportunities for new studies in areas such as degenerate dipolar fermi gases ( ddfg ) citationelement , deterministic single atom sources citationelement , and quantum information citationelement . among the possible candidates for these studies , dysprosium ( dy ) presents itself as an ideal case with one of the largest ground state magnetic moments in the periodic table ( RELOP_similar_to NUM italic_mu POSTSUBSCRIPT_start italic_B POSTSUBSCRIPT_end ) . in addition to the large ground state magnetic moment there is a pair of nearly degenerate excited state energy leves citationelement , presenting the opportunity for fundamental - physics tests citationelement . our group is currently exploring the possibility of laser cooling atomic dysprosium ( dy , atomic number italic_Z = NUM ) using a strong cycling transition at NUM - nm citationelement , for which detailed knowledge of the hyperfine and isotopic structure of the transition is required . while our current motivation is the transverse cooling of a thermal atomic beam used in a search for variation of the fine structure constant citationelement , future interest is in the development of a magneto - optical trap ( mot ) version of the experiment . as of today , little information about this cooling transition is available in the literature despite it being the strongest line in the visible spectrum of dysprosium . in this paper , we present the results of our measurement of the hyperfine coefficients and isotope shifts for the transition .                                                                                                                                                                                                                                                               "
model,model,"since the moving screen atmospheric model given in section ref provided a fairly good description of our data , we attempted to improve our atmospheric noise removal algorithm by applying the appropriate time delay / advance to every bolometer prior to average subtraction . the angular wind velocity for each observation was determined using the formalism described in section ref , and from this angular wind velocity we computed the time delay / advance for each bolometer based on its location on the focal plane . if the spatial structure of the atmospheric emission is static on the timescales of the delay / advance , then the shifted beam centers will be pointed at the same location in the turbulent layer for bolometers aligned parallel to the angular wind velocity . therefore , the atmospheric signal in these shifted time - streams will be identical for these bolometers , modulo uncertainties in the angular wind velocity , slight differences in the beam profiles , etc . see section ref for a discussion of the impact of the latter . for the typical angular speeds of the turbulent layer , the shifts are of order NUM sample , and we used a linear interpolation to account for shifts that are a fraction of a sample . note that this linear interpolation acts as a low - pass filter on our data ; to preserve the psds of our time - streams , we correct for this attenuation in frequency space . see appendix ref . we applied the appropriate shift to the time - stream of each bolometer before performing average subtraction , but this did not seem to reduce the post - subtraction noise psd relative to time - instantaneous average subtraction . see figure ref . therefore , we abandoned this atmospheric noise subtraction algorithm .                                                                                                                                                                                                             "
