True Label,Predicted Label,Content
abstract,abstract,theories of gravity invariant under those diffeomorphisms generated by transverse vectors are considered such theories are dubbed transverse and differ from general relativity in that the determinant of the metric is a transverse scalar we comment on diverse ways in which these models can be constrained using a variety of observations generically an additional scalar degree of freedom mediates the interaction so the usual constraints on scalar tensor theories have to be imposed if the purely gravitational part is einstein hilbert but the matter action is transverse the models predict that the three a priori different concepts of mass gravitational active and gravitational passive as well as inertial are not equivalent anymore these transverse deviations from general relativity are therefore tightly constrained actually correlated with existing bounds on violations of the equivalence principle local violations of newtons third law and or violation of local position invariance                                                                                                                                                                                                                                                                                                                                              
acknowledgement,acknowledgement,we acknowledge the assistance of yun and anthony d turner of nasas jet propulsion laboratory who fabricated the bolocam science array toshiro of the jpl electronic packaging group who wirebonded the array marty gould of zen machine and ricardo paniagua and the caltech pma gps instrument shop who fabricated much of the bolocam hardware carole tucker of cardiff university who tested metal mesh reflective filters used in bolocam ben knowles of the university of colorado who contributed to the software pipeline the day crew and hilo staff of the caltech submillimeter observatory who provided invaluable assistance during commissioning and data taking for this survey data set high school teacher tobias jacoby and high school students jonathon graff gloria lee and dalton sargent who helped as summer research assistants and kathy deniston who provided effective administrative support at caltech bolocam was constructed and commissioned using funds from nsf ast NUM nsf ast NUM nsf ast NUM nsf ast NUM and nsf ast NUM j sayers and g laurent were partially supported by nasa graduate student research fellowships j sayers was partially supported by a nasa postdoctoral program fellowship j aguirre was partially supported by a jansky postdoctoral fellowship and s golwala was partially supported by a r a millikan postdoctoral fellowship at caltech the research described in this paper was carried out at the jet propulsion laboratory california institute of technology under a contract with the national aeronautics and space administration                                                                                                                                                                                                                                                
conclusion,conclusion,we have combined mid ir photometry from spitzer irac with data from 2mass to provide a sensitive photometric census of objects towards the north america and pelican nebulae we have used irac color and magnitude diagnostics to identify more than NUM sources with infrared excess characteristic of young stars surrounded by a disk                                                                                                                                                                                                                                                                                                                                                                                                                                           
definition,definition,let be a prime finite field we denote by the order generalized reed muller code with variables this is a linear code over whose codewords are evaluations of polynomials over in variables of total degree at most                                                                                                                                                                                                                                                                                                                                                                                                                                                           
example,example,we illustrate the previous procedure with an example taken from the theory of electrical networks in particular we consider the lc switching network in citationelement see also citationelement whose dynamical equation is given by where and are positive parameters depending the inductances and capacitances of the electrical network the vector represents voltages and currents in the network and is a switching control variable which takes values in to make the discussion concrete we choose the parameters and so that the set of available matrices is the solution of ref is where is the solution of the matrix equation                                                                                                                                                                                                                                                                                                                                                                                              
introduction,introduction,the family of distributions proposed by birnbaum and saunders NUM also known as the fatigue life distribution has been widely applied for describing fatigue life and lifetimes in general this family of distributions was originally obtained from a model for which failure follows from the development and growth of a dominant crack it was later derived by desmond NUM using a biological model which followed from relaxing some of the assumptions originally made by birnbaum and saunders NUM                                                                                                                                                                                                                                                                                                                                                                                                                  
keywords,keywords,interconnected systems input to state stability small gain theorem large scale systems monotone maps                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
proof,proof,the proof is straightforward from formulae ref ref                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
proposition,proposition,the algebra is generated by the images of                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
problem,problem,show that to an affine calabi yau lg b model we can associate a tcft whose closed state space is                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
related work,related work,variants of the key hierarchy scheme studied in this paper were proposed by several independent groups citationelement the particular model we have adopted matches the key graph scheme of citationelement where they show that a balanced hierarchy achieves an upper bound of on the number of multicast messages needed for any update in a group of members in citationelement it is shown that messages are necessary for an update in the worst case for a general class of key distribution schemes lower bounds on the amount of communication needed under constraints on the number of keys stored at a user are given in citationelement information theoretic bounds on the number of auxiliary keys that need to be updated given member update frequencies are given in citationelement                                                                                                                                                                                                                                                                                                                                                                  
remark,remark,if and are of the forms where and are orthogonal family of projections and and then theorem NUM NUM holds by the same proof for example if both and are compact positive and is strictly increasing then and are of the above forms                                                                                                                                                                                                                                                                                                                                                                                                                                                     
result,result,the measurements were carried out during NUM NUM days of live time by brief NUM hour runs in order to monitor the time stability of the data acquisition system the obtained energy spectra of the si li detector in the range kev are shown in fig ref while the spectrum measured in the coincidence with signals of the veto scintillators does not contain any peculiarity one can clearly identify several peaks in the spectrum of uncorrelated events                                                                                                                                                                                                                                                                                                                                                                                                                   
abstract,acknowledgement,cont mech thermodyn NUM NUM NUM NUM NUM doi NUM NUM NUM NUM NUM authors version original publication available at www springerlink com                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
abstract,conclusion,in this paper we first study a smooth optimization approach for solving a class of non smooth strictly concave maximization problems whose objective functions admit smooth convex minimization reformulations in particular we apply nesterovs smooth optimization technique citationelement to their dual counterparts that are smooth convex problems it is shown that the resulting approach has iteration complexity for finding an optimal solution to both primal and dual problems we then discuss the application of this approach to sparse covariance selection that is approximately solved as a norm penalized maximum likelihood estimation problem and also propose a variant of this approach which has substantially outperformed the latter one in our computational experiments we finally compare the performance of these approaches with other first order methods namely nesterovs smooth approximation scheme and block coordinate descent method studied in citationelement for sparse covariance selection on a set of randomly generated instances it shows that our smooth optimization approach substantially outperforms the first method above and moreover its variant substantially outperforms both methods above                                                                                                                                                                                                                                                                                                                      
abstract,definition,abstract                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
abstract,example,we show how standard ipc mechanisms can be used with the fork system call to perform explicit state model checking on all interleavings of a multithreaded application we specifically show how to check for deadlock and race conditions in programs with two threads our techniques are easy to apply to other languages and require only the most rudimentary parsing of the target language our fundamental system fits in one page of c code                                                                                                                                                                                                                                                                                                                                                                                                                       
abstract,introduction,search engine companies collect the database of intentions the histories of their users search queries these search logs are a gold mine for researchers search engine companies however are wary of publishing search logs in order not to disclose sensitive information                                                                                                                                                                                                                                                                                                                                                                                                                                                       
abstract,keywords,depletion interaction isotropic smectic phase transition hard rod fluids                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
abstract,proof,let the symbols denote the sequences of the roots of the equations                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
abstract,proposition,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
abstract,problem,let be a numerical semigroup of embedding dimension and conductor the question of wilf is if                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
abstract,related work,consensus optimization has received considerable attention in recent years a number of decentralized algorithms have been proposed for convex consensus optimization however on nonconvex consensus optimization our understanding to the behavior of these algorithms is limited                                                                                                                                                                                                                                                                                                                                                                                                                                                            
abstract,remark,in the study of global bifurcations of vector fields on it is important to distinguish a set where the bifurcation actually occurs the bifurcation support hopefully it is sufficient to study the bifurcation in a neighborhood of the support only                                                                                                                                                                                                                                                                                                                                                                                                                                                        
abstract,result,the two main results of this work are the following if a space is such that player ii has a winning strategy in the game for every then is productively countably tight on the other hand if a space is productively countably tight then holds for every with these results several other results follow using some characterizations made by uspenskii and scheepers                                                                                                                                                                                                                                                                                                                                                                                                                                  
acknowledgement,abstract,the talk is based on the collaboration with t kubota more detailed description on the content of the present paper can be found in hep ph NUM                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
acknowledgement,conclusion,the first sections teleportation via povms and conclusive teleportation were presented before but not published citationelement the idea of bilocal teleportation and the ability to perform quasi conclusive teleportation with mixed states were presented in citationelement but the example we provide here is much simpler and involves only two qubits the connection between conclusive teleportation and conclusive purification or distillation from a single pair was obtained in citationelement and the idea of conclusive distillation appears earlier in previous works citationelement                                                                                                                                                                                                                                                                                                                                                                                                                
acknowledgement,introduction,the code for computational testing of the performance of solvers packing problems has code developed by citationelement for citationelement and can be downloaded at ref september 30th NUM this material is loosely based upon otherwise unpublished chapter NUM of the dissertation of citationelement but has benefited greatly from the comments of two anonymous referees which have helped the author improve both the contents and the presentation the views expressed in this chapter are personal views of the author and should not be construed as suggestions as to the product road map of ibm products                                                                                                                                                                                                                                                                                                                                                                                                  
acknowledgement,proof,the proof of theorem ref is based on a joint work of dh with manfred peter                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
